epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.8565,1.51137,2.45184,1.29759,0.64872,0.6784,0.69966,0.40227,1.43309,1.80613,1.31173,0.000550272,0.000550272,0.000550272
2,79.4779,1.42099,1.63398,1.24449,0.64447,0.61411,0.61082,0.36206,1.4774,1.74559,1.34915,0.0010903,0.0010903,0.0010903
3,115.395,1.40597,1.44903,1.24796,0.52879,0.6492,0.60271,0.34225,1.49767,1.48065,1.39688,0.00161461,0.00161461,0.00161461
4,151.455,1.41879,1.33068,1.2604,0.55062,0.72519,0.66822,0.40247,1.40808,1.29147,1.33985,0.00159627,0.00159627,0.00159627
5,187.447,1.39232,1.2374,1.23352,0.73318,0.62209,0.672,0.40254,1.40393,1.22847,1.3355,0.0015727,0.0015727,0.0015727
6,223.169,1.37452,1.15148,1.2332,0.66275,0.68935,0.69064,0.39562,1.44483,1.19963,1.33527,0.00154912,0.00154912,0.00154912
7,259.396,1.34646,1.08192,1.23057,0.65517,0.78388,0.77143,0.4794,1.37324,1.05225,1.30784,0.00152554,0.00152554,0.00152554
8,294.878,1.3389,1.04589,1.21289,0.76607,0.70884,0.76105,0.47535,1.37276,1.11863,1.27525,0.00150197,0.00150197,0.00150197
9,330.865,1.31433,0.97945,1.2043,0.68045,0.81551,0.77184,0.46853,1.38391,1.01179,1.32315,0.00147839,0.00147839,0.00147839
10,366.569,1.31231,0.96931,1.19714,0.68279,0.76247,0.75108,0.45495,1.40445,1.06467,1.30357,0.00145481,0.00145481,0.00145481
11,402.023,1.2827,0.94125,1.18621,0.68907,0.79218,0.75806,0.44983,1.42272,0.99883,1.32934,0.00143124,0.00143124,0.00143124
12,437.908,1.27646,0.9331,1.18161,0.7215,0.80501,0.83282,0.50842,1.35525,0.88659,1.29018,0.00140766,0.00140766,0.00140766
13,472.734,1.26172,0.89769,1.16488,0.71374,0.78832,0.77521,0.47154,1.39715,0.97791,1.31398,0.00138409,0.00138409,0.00138409
14,508.835,1.24551,0.87114,1.16133,0.74797,0.82524,0.80074,0.49573,1.37982,0.91261,1.30557,0.00136051,0.00136051,0.00136051
15,544.433,1.24787,0.8372,1.16263,0.78549,0.75645,0.81804,0.48889,1.33941,0.89169,1.28049,0.00133693,0.00133693,0.00133693
16,580.782,1.21535,0.82947,1.14309,0.72913,0.77005,0.77679,0.49085,1.37178,0.96855,1.301,0.00131336,0.00131336,0.00131336
17,616.047,1.20027,0.8045,1.12954,0.746,0.79374,0.82637,0.51052,1.34839,0.88083,1.28824,0.00128978,0.00128978,0.00128978
18,651.846,1.19805,0.80738,1.13471,0.80668,0.84351,0.8713,0.54494,1.34592,0.80411,1.273,0.00126621,0.00126621,0.00126621
19,688.332,1.1787,0.77726,1.13914,0.79009,0.75218,0.78331,0.47131,1.3917,0.93889,1.31261,0.00124263,0.00124263,0.00124263
20,723.602,1.16816,0.78094,1.11423,0.79635,0.76614,0.83005,0.50562,1.42103,0.96834,1.34986,0.00121905,0.00121905,0.00121905
